Station ID,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31
1034,84.75,59,60.5,57.625,49.375,63.125,51.375,46.875,NA,NA,NA,NA,NA,NA,NA,NA,55.875,NA,45.143,73.75,NA,74.5,48.125,71.125,69.375,83.5,74.857,44.125,39.5,57.25,NA
1035,46.5,47,53.25,48.625,41.25,68.75,73.5,43.875,50.625,NA,11.25,19.375,33.625,36.375,33.375,41.375,25.75,30.75,26.875,41,43.625,43.25,59.875,56.25,55.75,53.125,63.625,55.5,56.375,NA,28.125
1036,48.5,43.5,58,57.125,49,59.25,61.25,67.375,70.75,77.25,69.5,31.875,43.75,58.75,45.875,58.5,45.5,38.875,47.125,41.125,51,57.25,56.125,55.375,63.375,52.125,36.75,49,55.875,57.125,60.5
1037,81.25,67,54.375,53.125,55.875,75.5,42.25,49.75,79.75,73.875,83.875,60,48.25,52.875,NA,NA,NA,73,59.375,91,76.5,85.375,58.375,57,66.875,90.875,76.5,49,49.875,46.125,42.75
1038,56,57.25,60.75,47.625,58.5,50.125,59.375,76.5,49.5,41.25,54,49.125,58.375,62.125,46.5,47.375,27.625,22.125,26.25,43.25,43,46.125,59.25,53.5,50,59.75,51.125,47.375,60.375,74.5,61.375
1039,73.375,72.25,67.25,65.875,65,62.375,73,66,76.125,66.625,70.25,71.25,68.375,71.625,74,66.375,77.5,82.75,75.875,81.375,80.5,75.875,76.75,69.375,62.75,73.375,73.875,70.125,74.125,68,68.125
1040,66.25,37,46.75,70.25,52.875,53,27.75,29.25,44.125,60.75,62.875,54,63.25,57.625,75.5,57.25,45.625,53.25,60.125,59.875,69.625,73,37,52.625,59.125,73.5,61,35.875,56.625,61.375,67.25
1041,48.25,52.875,38.625,44.75,39.857,85.857,22.75,41.5,52.625,57,23.75,24.5,42.875,33.75,NA,28.375,26.75,27.375,28.375,40.375,42.875,35.25,47,42.375,50.25,50.875,38.125,26.125,39.25,58.875,41.5
1042,66.5,56.5,71.875,54.125,51.5,55.75,72.375,72.375,67.125,55,64.5,73.167,41,50.25,36.75,36.125,30.5,30.25,37.571,34.25,55.625,42.5,58.5,46.25,47.125,NA,NA,NA,NA,NA,NA
1043,69.75,65.25,60.625,62.875,63.125,62.625,58.625,64.625,64.75,62.75,62.625,75.125,75.375,75.25,75.125,71.625,76.75,78.75,68.25,68,51.125,49.75,53.5,58.875,71.625,56.375,67.5,67.5,54.5,61.75,46
1044,75.25,54.125,63.125,59,48.875,53.875,54.625,59.25,77.25,56.375,40,74.75,59.75,64.75,47,55.75,43.375,37.125,47.5,52.625,47.375,59.625,60.25,59.625,48.375,51.75,37,64.75,70.25,63.5,65.75
1045,57.375,56.25,45.25,47.25,51.625,47.75,36.125,56.375,68.25,68.375,48.125,54.375,42.375,42,40.5,38.125,27.5,24.5,40.5,39.375,44,58,71.714,50.286,48.75,47.875,43.75,31,53.25,68.25,54.75
1046,87.5,52.625,44.125,34.25,36.5,50,43.125,46.625,49.75,38.25,16.625,37.625,36,37,31.875,NA,26.375,35.125,43.625,51.625,47.125,NA,53.25,56.375,70.875,62.5,69,57.5,NA,35,31.875
1047,52.125,48.625,48.125,56.75,54.25,58.5,60.875,58.25,54.5,59.625,64.5,64.5,57.625,55.625,59.375,61.75,57.625,64.625,66.875,69.125,64,70,62.375,56.875,52,50.5,58.75,61.75,55.625,54.5,54.125
1048,113.12,89.75,93.375,86.25,82.5,NA,86.375,86.875,84,82.25,109.25,131.88,67.875,67.625,138.5,96.5,91.125,132,104,66.625,104.75,96.625,60.75,40.125,95.25,114.5,107.25,94.5,84.875,64.375,81.75
1049,44,32.75,44.25,34,34.125,16.75,25.5,65.625,38.875,15,24,26.875,39.625,41.875,38.75,18,17.5,21.375,25.75,21.625,19.625,43.875,47.875,43.625,39.625,40.375,41.25,NA,NA,NA,NA
1050,51.375,39,50.5,62.75,55.5,36.875,39.625,33.875,43,59.25,69.625,64.875,56,52.875,54.375,44.875,40.75,43.25,52.875,56.5,65.5,52.375,35.125,52.625,59,58,37,36.125,62.875,63,54.625
1051,59.625,68.75,60.75,49.25,31.75,27.625,54.125,52.375,54.125,17.625,45.875,50.375,60.5,49.375,31.857,32.875,15,24.375,27.75,30.875,31.5,40.375,44.75,46.375,57.5,57.875,46.75,25,45,45,44.5
1052,59.625,58.125,60.25,70.375,54,63,62.125,65.625,71.625,74,56.5,39.75,40.625,42.625,38.375,42.25,49.625,42.5,58.75,58.5,61.875,62.25,65.5,65.625,68.625,78.125,36.125,51.375,68.625,83,77.625
1053,86.75,84.375,80.125,72.25,93.125,85,85.625,85.75,69.125,68.25,67.75,69.875,64.75,71.25,73.875,79.875,75.375,76.75,83.375,88.375,81.125,78.375,64.75,61.375,78.125,79.125,74.375,66.75,70.875,73.625,74.5
1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1055,52.75,52.5,45.25,49.25,45,36.625,36.5,61.125,58.875,33,31,49.25,48.375,47.875,39.125,30.875,24.625,22.375,24.5,56.625,37.375,40.5,55.125,43.625,51.625,48.25,47.375,30.5,NA,45.375,42.5
1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1057,57.875,58.625,42.375,42.25,21.75,40.625,25.125,67.75,32.5,15.125,19.625,35.375,35.625,38.75,23,15.75,18,56.625,31.25,34.125,39.125,55,66.75,61.75,62.25,70.125,58.875,47.25,NA,NA,39.75
1058,61.375,55.375,44.125,NA,55.375,36.75,53,NA,48,46,41.375,52.25,59.125,47.75,51.25,45.5,40.375,43.75,56.875,71.375,64.375,60,55.25,49.25,46.125,47.75,53.125,55.375,61.75,49.5,51.25
1059,74.75,73.125,62.375,73,73.75,79.125,87.875,80.375,88.75,71.375,58.5,65,70.375,66.25,72.5,75.125,69.5,74,80.75,76.875,75.5,77,68,60.75,59.625,62.625,65.75,69.75,69.375,62,64
1060,89,68.125,82.75,64.75,71.75,69.875,65.875,64.25,68.125,59.75,61.375,69.625,72.625,71.125,135.67,73.375,79.25,77.125,82.875,75.125,73,72.625,64.75,62.25,NA,93,68.875,69.25,66.375,67.625,63.75
1061,61.375,71.875,57.25,45.625,49.125,31.375,40.75,63.75,64.75,55.625,31.375,47.875,55.375,51.75,47.25,31.25,28.625,40.375,38.5,53.125,58.625,68.25,71.125,70.5,86.25,79.625,58.5,56.75,58.125,47.75,46.875
1062,53.25,65.875,51.875,51.75,55.5,54.125,54.125,53.625,52.625,57.5,57,62.125,53.875,56.125,53.75,59.375,70.857,87,63.5,65.5,65.625,65,58.125,48.875,44.875,52.375,55.625,59.875,50.25,51.875,50.875
1063,22.125,31.875,35,48,58.875,20.5,28.5,30.875,NA,NA,NA,NA,41.5,37.625,29.5,36.875,36.125,34.625,44.5,31,30.375,43.25,26,28.5,26.875,55.125,45.75,23.125,36.375,23.25,26
1064,33,41.25,58.75,44.125,40.625,38.625,46.875,49.125,61.125,70.75,61.625,46.75,44.5,34.75,45.75,39.375,48.5,60.25,31.375,65.25,52.75,35.875,41.143,55.5,49,47.25,26.25,43.375,34,36.375,66.875
1065,51.5,31.875,36.375,58.375,48.5,35,34.875,31.375,26.375,41.5,33.375,31.25,33.75,34.5,35.625,43.625,33,38.625,44.125,30.25,48.625,42.125,30.375,31.75,42.25,46.875,28,24.25,41.5,31.5,44.75
1066,29.75,NA,30.375,31.75,25.125,26.25,17.875,22.875,22,16.875,25.375,20.625,19.375,26.75,23.625,30.25,18.625,16.875,16.75,23.5,18.375,24.625,46.875,54.125,54.875,49.5,48.875,53.875,48.875,38.875,28.125
1067,94,92.25,75.625,86.375,87,87.125,94.25,88.375,78.375,66.125,72.125,77.25,66.875,74.375,104.38,84,87,105.25,76.5,89.5,101.62,101.5,48.625,47,92.875,97.75,84.75,87.875,91.125,72,71.5
1068,56.125,35.125,51.875,54.75,NA,NA,38.375,44.875,48.625,47.625,59.375,48.75,62.875,51,38.75,43.125,41.375,53.375,55.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,51.75,55.75,56,56.875,48.5,53,63.75,56.375,61.625,63,61.125,58.875,66.625,71.25,61.125,63,63.25,52.625,46.125,54.75,50.375,51.25,57.875,58.75,46.25,28.625,38.375,48.5,58.875,67.375,64.75
1070,65.125,67.625,69.5,58.5,55.75,45.375,56.5,62.5,46.5,48.25,53.75,49.375,55.125,67.125,68.875,67.125,56.375,62.75,71.5,67.625,60.125,66,55.125,55.125,54.25,58.5,85,71.375,60.375,60.25,60.75
1071,62.75,52.25,53.625,49.375,40.75,59.375,48.375,51.25,69.5,61.625,52.25,49.5,32.625,40.75,46.75,38.25,36.625,39,52.625,63.875,60,63.375,44,48.75,59.75,56,47.875,39.375,55.5,53.75,54.625
1072,55.5,34.875,46.25,64.75,64.625,48.375,34.625,33.875,34,47.625,45.5,56.25,47.125,51.625,41.875,49.25,40.625,45.125,53.625,45.875,54.75,61.25,34,50.75,54.25,72.5,53.5,31.25,54.5,46,57.375
1073,59.5,40.375,67.125,74.875,51.875,49.625,56.5,61.625,72.375,78.5,84.125,50.75,51.375,44.625,49.125,45.5,52.5,42.375,50.25,63.125,54.625,64.5,47.25,64.625,44.625,52.625,36.375,39.875,66.375,58.375,56.5
1074,72.625,69.25,73,53.125,68.125,60.375,51.125,67,74.375,64,43.375,56.875,44.25,40.25,45.625,46.75,39.125,46.25,42.375,72.375,51.125,51.75,64.75,69.375,58.125,64.75,44,57.5,73.75,71.25,77
1075,69.0625,56.625,58.5625,49.5625,54.875,57.625,47.125,64.5625,71.25,72.4375,48.4375,46.0625,41.5625,38.125,40.5625,32.25,32.5,33,38.6875,38.8125,47.875,63.125,65.875,52.8125,58.25,51.3125,47.375,51.8125,64.4375,70.75,74.3125
1076,76.875,78.375,79,69.125,68.75,66.125,72.5,61.75,74,64.125,67.5,78.75,69,68.875,71.25,73.25,79.75,79.25,73.75,72.875,74.875,77.625,61.125,64.25,66.25,66,74.5,75.375,77.75,71.75,68.5
1077,67.375,40.25,69.375,73.25,46,44.625,41.125,48.25,52.5,64.5,69.75,80.875,42.625,57.75,55.75,NA,43.5,52.75,58.25,70.125,53.625,53,35.25,55.375,51.5,62.125,36.75,40.625,59.625,61.375,57.625
